@relation MINE-Indicator-2006TO2013-0811_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
13,'0811N: GDP per capita growth  (annual \%) - WDI','1340: Tariff rate; applied; simple mean; all products  (\%) - WDI',0.21269,0.201774,0.0503,0.21269,6.044394,0.104479,cluster5
14,'0811N: GDP per capita growth  (annual \%) - WDI','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.21193,0.185686,0.05493,0.21193,6.247928,-0.162001,cluster5
15,'0811N: GDP per capita growth  (annual \%) - WDI','0016: Forest area  (sq. km) - WDI',0.21183,0.211477,0.08459,0.20872,6.459432,0.018787,cluster5
16,'0811N: GDP per capita growth  (annual \%) - WDI','0017: Forest area  (\% of land area) - WDI',0.20965,0.209647,0.09579,0.20722,6.459432,-0.001792,cluster5
17,'0811N: GDP per capita growth  (annual \%) - WDI','0736: Agriculture; value added  (\% of GDP) - WDI',0.20959,0.188296,0.05413,0.20959,6.392317,0.145924,cluster5
18,'0811N: GDP per capita growth  (annual \%) - WDI','0004: Agricultural land  (sq. km) - WDI',0.20419,0.202655,0.07965,0.20167,6.459432,0.039178,cluster5
19,'0811N: GDP per capita growth  (annual \%) - WDI','0783: Adjusted net national income per capita  (annual \% growth) - WDI',0.20409,0.204082,0.01012,0.20409,6.209454,-0.002743,cluster5
20,'0811N: GDP per capita growth  (annual \%) - WDI','0781: Adjusted net national income per capita  (current US$) - WDI',0.20363,0.157845,0.05965,0.20363,6.357552,-0.213975,cluster5
21,'0811N: GDP per capita growth  (annual \%) - WDI','0896: Primary education; pupils - WDI',0.20255,0.194902,0.06178,0.20013,6.357552,0.08745,cluster5
22,'0811N: GDP per capita growth  (annual \%) - WDI','0779: Adjusted net national income  (constant 2005 US$) - WDI',0.20165,0.199722,0.07376,0.20165,6.169925,-0.043908,cluster5
23,'0811N: GDP per capita growth  (annual \%) - WDI','0980: School enrollment; tertiary; male  (\% gross) - WDI',0.20101,0.185207,0.04689,0.19769,6.129283,-0.12571,cluster5
24,'0811N: GDP per capita growth  (annual \%) - WDI','1310: Rural population - WDI',0.20088,0.194594,0.06409,0.20088,6.459432,0.079287,cluster5
25,'0811N: GDP per capita growth  (annual \%) - WDI','0780: Adjusted net national income  (annual \% growth) - WDI',0.20049,0.200212,0.00703,0.20049,6.209454,-0.016684,cluster5
26,'0811N: GDP per capita growth  (annual \%) - WDI','0020: Land area  (sq. km) - WDI',0.20047,0.200014,0.08205,0.20047,6.459432,0.021347,cluster5
27,'0811N: GDP per capita growth  (annual \%) - WDI','0678: Household final consumption expenditure per capita growth  (annual \%) - WDI',0.19955,0.14095,0.01789,0.19955,6.209454,0.242075,cluster5
28,'0811N: GDP per capita growth  (annual \%) - WDI','0746: Industry; value added  (annual \% growth) - WDI',0.19917,0.129773,0.0053,0.19701,6.392317,0.263433,cluster5
29,'0811N: GDP per capita growth  (annual \%) - WDI','0055: Net secondary income  (BoP; current US$) - WDI',0.1981,0.186564,0.03528,0.19567,6.247928,0.107405,cluster5
30,'0811N: GDP per capita growth  (annual \%) - WDI','0670: Household final consumption expenditure; etc.  (constant LCU) - WDI',0.19762,0.194663,0.06102,0.19762,6.087463,0.054377,cluster5
31,'0811N: GDP per capita growth  (annual \%) - WDI','1333: Tariff rate; most favored nation; simple mean; manufactured products  (\%) - WDI',0.19712,0.187709,0.03364,0.19712,6.044394,0.09701,cluster5
32,'0811N: GDP per capita growth  (annual \%) - WDI','0676: Household final consumption expenditure  (constant LCU) - WDI',0.19698,0.193729,0.0642,0.19317,6.129283,0.057021,cluster5
33,'0811N: GDP per capita growth  (annual \%) - WDI','0825: GNI  (constant 2005 US$) - WDI',0.19536,0.193281,0.05932,0.19221,6.209454,-0.045601,cluster5
34,'0811N: GDP per capita growth  (annual \%) - WDI','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.1942,0.160768,0.04359,0.1942,6.426265,-0.182843,cluster2
35,'0811N: GDP per capita growth  (annual \%) - WDI','0380: Energy use  (kg of oil equivalent per capita) - WDI',0.194,0.156842,0.02315,0.19147,6.247928,-0.192764,cluster5
36,'0811N: GDP per capita growth  (annual \%) - WDI','0306: PPG; multilateral concessional  (NTR; current US$) - WDI',0.19385,0.190275,0.04254,0.19385,5.954197,0.059788,cluster5
37,'0811N: GDP per capita growth  (annual \%) - WDI','0810: GDP per capita  (constant 2005 US$) - WDI',0.19339,0.163056,0.05228,0.19339,6.459432,-0.174167,cluster2
38,'0811N: GDP per capita growth  (annual \%) - WDI','0847: Net current transfers from abroad  (current US$) - WDI',0.19339,0.191112,0.02898,0.1906,6.169925,0.047727,cluster5
39,'0811N: GDP per capita growth  (annual \%) - WDI','0953: School enrollment; secondary; female  (\% gross) - WDI',0.19322,0.164731,0.02363,0.19322,6.209454,-0.168788,cluster5
40,'0811N: GDP per capita growth  (annual \%) - WDI','0927: Primary education; teachers - WDI',0.19299,0.186168,0.04936,0.19299,6.209454,0.082598,cluster5
41,'0811N: GDP per capita growth  (annual \%) - WDI','1093: Incidence of tuberculosis  (per 100;000 people) - WDI',0.19272,0.181757,0.01679,0.19069,6.426265,0.104702,cluster5
42,'0811N: GDP per capita growth  (annual \%) - WDI','0225: PPG; bilateral  (INT; current US$) - WDI',0.19269,0.182499,0.05289,0.19269,5.954197,0.100951,cluster5
43,'0811N: GDP per capita growth  (annual \%) - WDI','0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI',0.19207,0.146619,0.02896,0.18979,6.321928,-0.213194,cluster5
44,'0811N: GDP per capita growth  (annual \%) - WDI','1098: Health expenditure per capita  (current US$) - WDI',0.19204,0.161487,0.0385,0.19204,6.426265,-0.174795,cluster2
45,'0811N: GDP per capita growth  (annual \%) - WDI','0971: Secondary education; teachers - WDI',0.19145,0.185266,0.04594,0.19145,6,0.078636,cluster5
46,'0811N: GDP per capita growth  (annual \%) - WDI','1336: Tariff rate; most favored nation; weighted mean; manufactured products  (\%) - WDI',0.19144,0.189865,0.03756,0.19144,6.044394,0.039681,cluster5
47,'0811N: GDP per capita growth  (annual \%) - WDI','0759: Services; etc.; value added  (\% of GDP) - WDI',0.19133,0.17027,0.04596,0.19133,6.392317,-0.14512,cluster2
48,'0811N: GDP per capita growth  (annual \%) - WDI','0176: External debt stocks; concessional  (DOD; current US$) - WDI',0.19122,0.181015,0.03203,0.19122,5.954197,0.101022,cluster5
49,'0811N: GDP per capita growth  (annual \%) - WDI','2809: Balance of Payments-Exports-Telecommunications services (US dollar at current prices) - WTO',0.1899,0.177374,0.03577,0.18607,6,-0.11192,cluster5
50,'0811N: GDP per capita growth  (annual \%) - WDI','0952: School enrollment; secondary  (\% gross) - WDI',0.18983,0.161073,0.02592,0.18723,6.247928,-0.169579,cluster5
51,'0811N: GDP per capita growth  (annual \%) - WDI','0028: Surface area  (sq. km) - WDI',0.18966,0.189202,0.07048,0.18966,6.459432,0.021397,cluster5
52,'0811N: GDP per capita growth  (annual \%) - WDI','1060: Improved sanitation facilities; urban  (\% of urban population with access) - WDI',0.18966,0.182514,0.05849,0.18781,6.426265,-0.084537,cluster2
53,'0811N: GDP per capita growth  (annual \%) - WDI','1025: Number of neonatal deaths - WDI',0.18915,0.184822,0.03962,0.18915,6.357552,0.065789,cluster5
54,'0811N: GDP per capita growth  (annual \%) - WDI','0642: Secure Internet servers  (per 1 million people) - WDI',0.189,0.171778,0.01459,0.18704,6.426265,-0.131233,cluster2
55,'0811N: GDP per capita growth  (annual \%) - WDI','1332: Tariff rate; applied; simple mean; manufactured products  (\%) - WDI',0.18877,0.178126,0.03088,0.18877,6.044394,0.103168,cluster5
56,'0811N: GDP per capita growth  (annual \%) - WDI','0735: Agriculture; value added  (constant LCU) - WDI',0.1882,0.18438,0.04851,0.18567,6.247928,0.061803,cluster5
57,'0811N: GDP per capita growth  (annual \%) - WDI','0342: PPG; official creditors  (TDS; current US$) - WDI',0.18751,0.178507,0.04447,0.18751,5.954197,0.094884,cluster5
58,'0811N: GDP per capita growth  (annual \%) - WDI','0674: Household final consumption expenditure  (constant 2005 US$) - WDI',0.18703,0.183258,0.06084,0.18703,6.209454,-0.061414,cluster5
59,'0811N: GDP per capita growth  (annual \%) - WDI','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.1869,0.167192,0.0556,0.18482,6.459432,-0.140387,cluster2
60,'0811N: GDP per capita growth  (annual \%) - WDI','0932: Children out of school; primary - WDI',0.18683,0.18185,0.02727,0.18683,6.129283,0.070567,cluster5
61,'0811N: GDP per capita growth  (annual \%) - WDI','0474: Broad money growth  (annual \%) - WDI',0.18677,0.141318,0.01807,0.18394,6.129283,0.213195,cluster5
62,'0811N: GDP per capita growth  (annual \%) - WDI','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.18633,0.156768,0.04902,0.18417,6.459432,-0.171935,cluster2
63,'0811N: GDP per capita growth  (annual \%) - WDI','0199: PPG; official creditors  (DOD; current US$) - WDI',0.18615,0.176924,0.03772,0.18615,5.954197,0.096052,cluster5
64,'0811N: GDP per capita growth  (annual \%) - WDI','1339: Share of tariff lines with international peaks; all products  (\%) - WDI',0.18516,0.182546,0.02727,0.18516,6.044394,0.051124,cluster5
65,'0811N: GDP per capita growth  (annual \%) - WDI','0490: Claims on other sectors of the domestic economy  (\% of GDP) - WDI',0.1849,0.131019,0.01997,0.1849,6.129283,-0.232123,cluster5
66,'0811N: GDP per capita growth  (annual \%) - WDI','0808: GDP per capita  (current US$) - WDI',0.18401,0.153083,0.04842,0.18401,6.459432,-0.175859,cluster2
67,'0811N: GDP per capita growth  (annual \%) - WDI','0690: Final consumption expenditure  (constant LCU) - WDI',0.1837,0.180501,0.05201,0.17994,6.129283,0.056559,cluster5
68,'0811N: GDP per capita growth  (annual \%) - WDI','1023: Number of under-five deaths - WDI',0.18325,0.179588,0.03209,0.18325,6.357552,0.060514,cluster5
69,'0811N: GDP per capita growth  (annual \%) - WDI','1341: Tariff rate; most favored nation; simple mean; all products  (\%) - WDI',0.18309,0.174622,0.02307,0.18309,6.044394,0.092019,cluster5
70,'0811N: GDP per capita growth  (annual \%) - WDI','0848: Net current transfers from abroad  (current LCU) - WDI',0.18298,0.182494,0.03528,0.18022,6.169925,-0.022042,cluster5
71,'0811N: GDP per capita growth  (annual \%) - WDI','0683: Final consumption expenditure; etc.  (constant 2005 US$) - WDI',0.18247,0.178125,0.05348,0.18247,6.209454,-0.065919,cluster5
72,'0811N: GDP per capita growth  (annual \%) - WDI','0226: PPG; bilateral concessional  (INT; current US$) - WDI',0.18209,0.171568,0.03916,0.18209,5.954197,0.102577,cluster6
73,'0811N: GDP per capita growth  (annual \%) - WDI','0179: PPG; bilateral concessional  (DOD; current US$) - WDI',0.182,0.170721,0.04265,0.182,5.954197,0.1062,cluster6
74,'0811N: GDP per capita growth  (annual \%) - WDI','0943: Secondary education; pupils - WDI',0.18173,0.172964,0.03849,0.18173,6.247928,0.093629,cluster8
75,'0811N: GDP per capita growth  (annual \%) - WDI','0945: Secondary education; general pupils - WDI',0.18159,0.163502,0.03812,0.17827,6.129283,0.134493,cluster8
76,'0811N: GDP per capita growth  (annual \%) - WDI','0797: Gross value added at factor cost  (constant LCU) - WDI',0.18152,0.180836,0.06204,0.18152,6.129283,0.026147,cluster5
77,'0811N: GDP per capita growth  (annual \%) - WDI','0796: Gross value added at factor cost  (constant 2005 US$) - WDI',0.18129,0.175419,0.03269,0.17876,6.247928,-0.076625,cluster8
78,'0811N: GDP per capita growth  (annual \%) - WDI','0378: Combustible renewables and waste  (\% of total energy) - WDI',0.18084,0.172651,0.02208,0.17833,6.209454,0.090492,cluster8
79,'0811N: GDP per capita growth  (annual \%) - WDI','0685: Final consumption expenditure; etc.  (constant LCU) - WDI',0.18084,0.177853,0.05279,0.18084,6.129283,0.054652,cluster5
80,'0811N: GDP per capita growth  (annual \%) - WDI','0479: Money and quasi money growth  (annual \%) - WDI',0.18069,0.134806,0.01469,0.18069,6.129283,0.214204,cluster5
81,'0811N: GDP per capita growth  (annual \%) - WDI','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.18057,0.158801,0.03829,0.18057,6.392317,-0.147543,cluster2
82,'0811N: GDP per capita growth  (annual \%) - WDI','0668: Household final consumption expenditure; etc.  (constant 2005 US$) - WDI',0.18045,0.17572,0.04737,0.17763,6.209454,-0.068775,cluster8
83,'0811N: GDP per capita growth  (annual \%) - WDI','1348: Tariff rate; applied; simple mean; primary products  (\%) - WDI',0.18,0.16979,0.0411,0.18,6.044394,0.101042,cluster8
84,'0811N: GDP per capita growth  (annual \%) - WDI','0423: CO2 emissions from transport  (\% of total fuel combustion) - WDI',0.1793,0.179229,0.07334,0.17665,6.209454,-0.008441,cluster5
85,'0811N: GDP per capita growth  (annual \%) - WDI','0006: Arable land  (hectares) - WDI',0.17922,0.174749,0.0465,0.1763,6.321928,0.066863,cluster8
86,'0811N: GDP per capita growth  (annual \%) - WDI','0844: Net taxes on products  (current US$) - WDI',0.17893,0.172579,0.04869,0.17568,6.169925,-0.079691,cluster8
87,'0811N: GDP per capita growth  (annual \%) - WDI','0326: PPG; bilateral concessional  (TDS; current US$) - WDI',0.17892,0.167869,0.0448,0.17892,5.954197,0.105122,cluster6
88,'0811N: GDP per capita growth  (annual \%) - WDI','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU',0.17863,0.16058,0.04707,0.17863,6.285402,-0.13435,cluster8
89,'0811N: GDP per capita growth  (annual \%) - WDI','0724: Imports of goods and services  (constant LCU) - WDI',0.17837,0.17569,0.05669,0.17837,6.129283,0.051771,cluster5
90,'0811N: GDP per capita growth  (annual \%) - WDI','0334: Debt service on external debt; public and publicly guaranteed (PPG)  (TDS; current US$) - WDI',0.17825,0.171745,0.04446,0.17825,5.954197,0.080654,cluster6
91,'0811N: GDP per capita growth  (annual \%) - WDI','0198: IBRD loans and IDA credits  (DOD; current US$) - WDI',0.17805,0.168031,0.04458,0.17456,6,0.100093,cluster6
92,'0811N: GDP per capita growth  (annual \%) - WDI','0813: GDP per capita; PPP  (current international $) - WDI',0.17801,0.148291,0.04158,0.17595,6.459432,-0.172391,cluster2
93,'0811N: GDP per capita growth  (annual \%) - WDI','0351: Undisbursed external debt; official creditors  (UND; current US$) - WDI',0.17776,0.171436,0.02465,0.17776,5.954197,0.079523,cluster6
94,'0811N: GDP per capita growth  (annual \%) - WDI','1344: Tariff rate; most favored nation; weighted mean; all products  (\%) - WDI',0.17745,0.175046,0.02497,0.17745,6.044394,0.049031,cluster8
95,'0811N: GDP per capita growth  (annual \%) - WDI','1051: Lifetime risk of maternal death  (\%) - WDI',0.17732,0.17694,0.03914,0.175,6.426265,0.019485,cluster2
96,'0811N: GDP per capita growth  (annual \%) - WDI','0972: Secondary education; teachers; female - WDI',0.17727,0.173062,0.04275,0.17727,5.954197,0.064867,cluster6
97,'0811N: GDP per capita growth  (annual \%) - WDI','0851: DEC alternative conversion factor  (LCU per US$) - WDI',0.17715,0.172825,0.02898,0.17715,6.321928,0.065764,cluster8
98,'0811N: GDP per capita growth  (annual \%) - WDI','1347: Share of tariff lines with international peaks; primary products  (\%) - WDI',0.1771,0.173675,0.03673,0.1771,6.044394,0.058521,cluster8
99,'0811N: GDP per capita growth  (annual \%) - WDI','0694: Gross national expenditure  (constant 2005 US$) - WDI',0.17704,0.175028,0.04261,0.17401,6.247928,-0.044858,cluster8
100,'0811N: GDP per capita growth  (annual \%) - WDI','0739: Manufacturing; value added  (constant 2005 US$) - WDI',0.17694,0.171829,0.03885,0.17694,6.285402,-0.071491,cluster8
101,'0811N: GDP per capita growth  (annual \%) - WDI','0300: Net transfers on external debt; long-term  (NTR; current US$) - WDI',0.17681,0.174656,0.01215,0.17681,5.954197,0.046409,cluster6
102,'0811N: GDP per capita growth  (annual \%) - WDI','0954: School enrollment; secondary; male  (\% gross) - WDI',0.17677,0.146451,0.0168,0.17677,6.209454,-0.174123,cluster8
103,'0811N: GDP per capita growth  (annual \%) - WDI','1021: Number of infant deaths - WDI',0.17673,0.172808,0.02732,0.17673,6.357552,0.062628,cluster8
104,'0811N: GDP per capita growth  (annual \%) - WDI','0350: Undisbursed external debt; total  (UND; current US$) - WDI',0.17668,0.170595,0.02431,0.17668,5.954197,0.078007,cluster6
105,'0811N: GDP per capita growth  (annual \%) - WDI','0693: Gross national expenditure  (current LCU) - WDI',0.17641,0.175771,0.0367,0.17374,6.285402,0.025271,cluster8
106,'0811N: GDP per capita growth  (annual \%) - WDI','1331: Share of tariff lines with international peaks; manufactured products  (\%) - WDI',0.17641,0.173555,0.02392,0.17641,6.044394,0.053428,cluster8
107,'0811N: GDP per capita growth  (annual \%) - WDI','0598: Trademark applications; direct resident - WDI',0.17622,0.172664,0.03565,0.17259,6,0.059631,cluster6
108,'0811N: GDP per capita growth  (annual \%) - WDI','0654: Armed forces personnel; total - WDI',0.17605,0.172589,0.04636,0.17605,6.321928,0.058831,cluster8
109,'0811N: GDP per capita growth  (annual \%) - WDI','0934: Children out of school; female  (\% of female primary school age) - WDI',0.17602,0.174088,0.03785,0.17302,6.087463,-0.04395,cluster8
110,'0811N: GDP per capita growth  (annual \%) - WDI','0973: Secondary education; teachers  (\% female) - WDI',0.17596,0.166249,0.02246,0.17596,5.954197,-0.098543,cluster8
111,'0811N: GDP per capita growth  (annual \%) - WDI','1304: Population; total - WDI',0.17579,0.171529,0.04452,0.17579,6.459432,0.065274,cluster2
112,'0811N: GDP per capita growth  (annual \%) - WDI','0713: Changes in inventories  (constant LCU) - WDI',0.17561,0.175297,0.0527,0.17561,6.044394,-0.017684,cluster8
113,'0811N: GDP per capita growth  (annual \%) - WDI','1232: Labor force; total - WDI',0.1754,0.171125,0.05867,0.1754,6.392317,0.065386,cluster2
114,'0811N: GDP per capita growth  (annual \%) - WDI','0204: PPG; other private creditors  (DOD; current US$) - WDI',0.17539,0.16204,0.02159,0.17539,5.954197,0.115544,cluster6
115,'0811N: GDP per capita growth  (annual \%) - WDI','1289: Survival to age 65; female  (\% of cohort) - WDI',0.17522,0.172021,0.0495,0.17522,6.426265,-0.056564,cluster2
116,'0811N: GDP per capita growth  (annual \%) - WDI','1231: Labor force; female  (\% of total labor force) - WDI',0.17509,0.173476,0.07048,0.17509,6.392317,0.040177,cluster2
117,'0811N: GDP per capita growth  (annual \%) - WDI','0928: Primary education; teachers  (\% female) - WDI',0.17504,0.173259,0.02452,0.17504,6.169925,-0.042205,cluster8
118,'0811N: GDP per capita growth  (annual \%) - WDI','0675: Household final consumption expenditure  (annual \% growth) - WDI',0.17491,0.136166,0.00995,0.17219,6.285402,0.196834,cluster8
119,'0811N: GDP per capita growth  (annual \%) - WDI','0827: GNI  (constant LCU) - WDI',0.17466,0.173067,0.0447,0.17173,6.129283,0.039916,cluster8
120,'0811N: GDP per capita growth  (annual \%) - WDI','0132: PPG; other private creditors  (AMT; current US$) - WDI',0.17459,0.15627,0.02183,0.17459,5.954197,0.135352,cluster6
121,'0811N: GDP per capita growth  (annual \%) - WDI','0299: Net transfers on external debt; total  (NTR; current US$) - WDI',0.17458,0.167564,0.01969,0.17458,5.954197,0.083764,cluster6
122,'0811N: GDP per capita growth  (annual \%) - WDI','0740: Manufacturing; value added  (annual \% growth) - WDI',0.17435,0.146309,0.01306,0.17226,6.357552,0.167456,cluster8
123,'0811N: GDP per capita growth  (annual \%) - WDI','0802: GDP  (constant 2005 US$) - WDI',0.1737,0.172462,0.0522,0.1737,6.459432,-0.035189,cluster2
124,'0811N: GDP per capita growth  (annual \%) - WDI','0195: PPG; multilateral  (DOD; current US$) - WDI',0.17345,0.165614,0.02796,0.17345,5.954197,0.088522,cluster6
125,'0811N: GDP per capita growth  (annual \%) - WDI','0684: Final consumption expenditure; etc.  (annual \% growth) - WDI',0.17334,0.13433,0.01196,0.171,6.285402,0.197509,cluster8
126,'0811N: GDP per capita growth  (annual \%) - WDI','0856: PPP conversion factor; private consumption  (LCU per international $) - WDI',0.17331,0.170317,0.03715,0.1708,6.247928,0.054709,cluster8
127,'0811N: GDP per capita growth  (annual \%) - WDI','0930: Adjusted net enrollment rate; primary; female  (\% of primary school age children) - WDI',0.17321,0.171277,0.03599,0.17033,6.087463,0.043968,cluster8
128,'0811N: GDP per capita growth  (annual \%) - WDI','0798: Forest rents  (\% of GDP) - WDI',0.1732,0.170079,0.03238,0.17106,6.426265,0.055867,cluster2
129,'0811N: GDP per capita growth  (annual \%) - WDI','0669: Household final consumption expenditure; etc.  (annual \% growth) - WDI',0.17312,0.152056,0.01177,0.17061,6.247928,0.145136,cluster8
130,'0811N: GDP per capita growth  (annual \%) - WDI','0818: Gross domestic savings  (current LCU) - WDI',0.17297,0.17255,0.04213,0.17048,6.247928,0.020494,cluster8
131,'0811N: GDP per capita growth  (annual \%) - WDI','1350: Share of tariff lines with specific rates; primary products  (\%) - WDI',0.17297,0.140468,0.04709,0.17297,6.044394,-0.180283,cluster8
132,'0811N: GDP per capita growth  (annual \%) - WDI','1432: Air and GHG emissions - CO2 (MLN_TONNE) - OECD',0.17278,0.17278,0.03969,0.16879,6,-0.000501,cluster8
133,'0811N: GDP per capita growth  (annual \%) - WDI','0238: PPG; multilateral concessional  (INT; current US$) - WDI',0.17273,0.167123,0.03964,0.17273,5.954197,0.074883,cluster6
134,'0811N: GDP per capita growth  (annual \%) - WDI','0184: Use of IMF credit  (DOD; current US$) - WDI',0.17271,0.167368,0.03452,0.17271,5.954197,0.073092,cluster6
135,'0811N: GDP per capita growth  (annual \%) - WDI','0795: Gross value added at factor cost  (current LCU) - WDI',0.17267,0.172654,0.03019,0.16971,6.169925,0.00399,cluster8
136,'0811N: GDP per capita growth  (annual \%) - WDI','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI',0.17261,0.152751,0.02319,0.17261,6.357552,-0.140923,cluster8
137,'0811N: GDP per capita growth  (annual \%) - WDI','1286: Life expectancy at birth; total  (years) - WDI',0.17241,0.16633,0.04486,0.17241,6.426265,-0.077972,cluster2
138,'0811N: GDP per capita growth  (annual \%) - WDI','0937: Children out of school  (\% of primary school age) - WDI',0.17215,0.171396,0.02985,0.17215,6.129283,-0.027467,cluster8
139,'0811N: GDP per capita growth  (annual \%) - WDI','0747: Industry; value added  (constant LCU) - WDI',0.17208,0.169434,0.05153,0.16889,6.247928,0.051436,cluster8
140,'0811N: GDP per capita growth  (annual \%) - WDI','0207: External debt stocks; long-term public sector  (DOD; current US$) - WDI',0.17185,0.164875,0.0215,0.17185,5.954197,0.083519,cluster6
141,'0811N: GDP per capita growth  (annual \%) - WDI','0700: Exports of goods and services  (annual \% growth) - WDI',0.17181,0.171496,0.02069,0.16956,6.285402,0.017728,cluster8
142,'0811N: GDP per capita growth  (annual \%) - WDI','0756: Services; etc.; value added  (constant 2005 US$) - WDI',0.1718,0.168044,0.04713,0.1718,6.321928,-0.061286,cluster8
143,'0811N: GDP per capita growth  (annual \%) - WDI','0257: Net financial flows; bilateral  (NFL; current US$) - WDI',0.17169,0.171385,0.03282,0.17169,5.954197,-0.017471,cluster8
144,'0811N: GDP per capita growth  (annual \%) - WDI','0777: Adjusted savings: net national savings  (\% of GNI) - WDI',0.17165,0.130922,0.02441,0.17165,6.285402,0.201813,cluster8
145,'0811N: GDP per capita growth  (annual \%) - WDI','0281: PNG; commercial banks and other creditors  (NFL; current US$) - WDI',0.17155,0.169308,0.02406,0.17155,5.954197,0.047354,cluster6
146,'0811N: GDP per capita growth  (annual \%) - WDI','0853: PPP conversion factor; GDP  (LCU per international $) - WDI',0.17153,0.168752,0.03721,0.16921,6.321928,0.052706,cluster8
147,'0811N: GDP per capita growth  (annual \%) - WDI','2707: Failed States Index Total - Fund for Peace',0.1715,0.146768,0.01814,0.1715,6.209454,0.157263,cluster8
148,'0811N: GDP per capita growth  (annual \%) - WDI','0935: Children out of school; primary; male - WDI',0.17113,0.165742,0.02305,0.16799,6.087463,0.0734,cluster8
149,'0811N: GDP per capita growth  (annual \%) - WDI','0830: GNI per capita; Atlas method  (current US$) - WDI',0.1711,0.141647,0.0318,0.16943,6.459432,-0.171619,cluster2
150,'0811N: GDP per capita growth  (annual \%) - WDI','0439: Aquaculture production  (metric tons) - WDI',0.17103,0.161542,0.04715,0.17103,6.392317,0.097408,cluster2
151,'0811N: GDP per capita growth  (annual \%) - WDI','0689: Final consumption expenditure  (constant 2005 US$) - WDI',0.17098,0.167247,0.04614,0.17098,6.209454,-0.061095,cluster8
152,'0811N: GDP per capita growth  (annual \%) - WDI','0124: PPG; IDA  (AMT; current US$) - WDI',0.17097,0.158744,0.02887,0.17097,5.954197,0.110572,cluster6
153,'0811N: GDP per capita growth  (annual \%) - WDI','0979: School enrollment; tertiary; female  (\% gross) - WDI',0.17089,0.14634,0.01198,0.16749,6.129283,-0.156684,cluster8
